Date,JORDAN SMALL CAP
1996-05,424.3206807899997
1996-06,398.0390425702118
1996-07,398.7989506076609
1996-08,406.40997180919936
1996-09,426.44857420968987
1996-10,416.8491806384882
1996-11,417.8358160902756
1996-12,433.2516468441698
1997-01,431.62036177017984
1997-02,438.70045174780535
1997-03,429.39768648061613
1997-04,424.33602867492374
1997-05,463.21610020719265
1997-06,475.3779729550586
1997-07,471.2253225672878
1997-08,466.3861885856174
1997-09,466.84535750381036
1997-10,467.4700706307209
1997-11,472.27058948669765
1997-12,469.87774428350707
1998-01,466.65771609095395
1998-02,453.15061364963753
1998-03,442.1877079333015
1998-04,469.92621124152635
1998-05,458.73747258616044
1998-06,415.59950160777146
1998-07,376.64753009960106
1998-08,370.7613138268823
1998-09,355.48987018491056
1998-10,336.04021975566906
1998-11,375.4558277849483
1998-12,427.0277069154332
1999-01,467.03641347202847
1999-02,486.8809269639435
1999-03,478.7640070843543
1999-04,457.6997576101487
1999-05,482.87248308264657
1999-06,480.61498591451
1999-07,484.4343522369446
1999-08,469.47631820911124
1999-09,444.5287481604261
1999-10,437.69389535985744
1999-11,441.54372309941965
1999-12,472.7967779609419
2000-01,457.53178021364687
2000-02,415.6734024505922
2000-03,428.99861209193585
2000-04,438.07681197464194
2000-05,407.24795589065843
2000-06,410.5285157663591
2000-07,376.5733872376104
2000-08,366.7828330308393
2000-09,378.08284183055446
2000-10,374.6599724596623
2000-11,377.62143063620505
2000-12,379.0377932455708
2001-01,378.78287925676153
2001-02,382.5471197873393
2001-03,385.0129599603292
2001-04,371.7463509628747
2001-05,376.3537542651434
2001-06,371.91082078969043
2001-07,375.2975244345456
2001-08,375.82428970465065
2001-09,365.39155336302935
2001-10,370.15218784416913
2001-11,378.67434635735793
2001-12,399.2775697568719
2002-01,413.7135198694128
2002-02,404.37276066047974
2002-03,420.0190142759604
2002-04,411.76164145594134
2002-05,436.13014523188644
2002-06,484.99409475655216
2002-07,443.76668739175363
2002-08,423.80932363445396
2002-09,405.73797311722274
2002-10,391.1993903872939
2002-11,406.58049240984354
2002-12,412.11473072477145
2003-01,430.69886036327597
2003-02,408.64146505755156
2003-03,452.92439726746187
2003-04,496.7202986046465
2003-05,520.4293588069353
2003-06,534.6603788865575
2003-07,586.099969060636
2003-08,599.6322259061811
2003-09,615.1172119850814
2003-10,610.5667689439169
2003-11,649.7079896316557
2003-12,705.1911668957341
2004-01,752.0147217754254
2004-02,716.9028519712845
2004-03,700.1130037466995
2004-04,671.8771742313523
2004-05,700.7137897862602
2004-06,740.8256217503258
2004-07,763.2345863287462
2004-08,774.1493233744872
2004-09,820.2780528267864
2004-10,842.6780715682725
2004-11,911.518893303743
2004-12,927.3718536655177
2005-01,1055.1350102942583
2005-02,1144.0245929082957
2005-03,1346.8504769215247
2005-04,1548.5598437922033
2005-05,1512.855018570512
2005-06,1728.4819701511233
2005-07,1597.4619779492164
2005-08,1781.416062240195
2005-09,1663.7198011493383
2005-10,1585.233848163303
2005-11,1594.4299637977215
2005-12,1431.98946495611
2006-01,1494.318720350368
2006-02,1239.688425271171
2006-03,1127.2968299585489
2006-04,1155.5009093864237
2006-05,1124.9432197718188
2006-06,972.3184383575202
2006-07,949.2510366953253
2006-08,979.9427373786568
2006-09,963.2399660831178
2006-10,970.3886975628408
2006-11,904.602196576601
2006-12,918.5584178564583
2007-01,1005.9227461783255
2007-02,1040.160240058859
2007-03,1008.9446627802546
2007-04,1004.80692304734
2007-05,1000.0
2007-06,1042.438365693098
2007-07,1003.7591104091756
2007-08,973.1020363147875
2007-09,997.0830165636586
2007-10,1078.254430344096
2007-11,1071.5831201110857
2007-12,1179.8483744782088
2008-01,1255.336043594412
2008-02,1322.4235840079439
2008-03,1329.9188798741118
2008-04,1431.521103023859
2008-05,1521.366184068641
2008-06,1684.1840270526757
2008-07,1579.2867543881705
2008-08,1474.4416114036947
2008-09,1349.7862659721175
2008-10,1060.0597804724175
2008-11,893.1167870464315
2008-12,882.9286039760788
2009-01,882.6458110552156
2009-02,935.7232834538846
2009-03,1055.6902989550563
2009-04,1139.4509715857514
2009-05,1160.2914947267172
2009-06,1100.8317132617822
2009-07,1040.491325069709
2009-08,971.3595518784272
2009-09,1235.5463872322357
2009-10,1144.0205018900888
2009-11,1066.2946281797838
2009-12,1012.6888441086006
2010-01,993.807102315924
2010-02,951.623321296734
2010-03,1033.4847452898478
2010-04,1107.8073544027552
2010-05,974.8467992543581
2010-06,953.083077071439
2010-07,943.8360858111729
2010-08,893.4918639462907
2010-09,945.5483800916388
2010-10,929.3300762454098
2010-11,911.4067821613562
2010-12,912.2282054645387
2011-01,916.8335119609388
2011-02,865.8777433618629
2011-03,838.64832959
2011-04,859.51041439
2011-05,833.95051006
2011-06,799.3732292751499
2011-07,799.9734178660528
2011-08,767.0375332306546
2011-09,753.6201754094944
2011-10,792.400139960076
2011-11,790.4388147561017
2011-12,815.4544788358826
2012-01,800.6308398945046
2012-02,795.1316543953201
2012-03,809.7375723383475
2012-04,815.5377982734485
2012-05,770.9339865965719
2012-06,771.6817110174705
2012-07,751.9132393267977
2012-08,781.7148197746752
2012-09,775.8866784039659
2012-10,801.7629162982702
2012-11,806.172657880771
2012-12,822.4746331411369
2013-01,872.0119586586732
2013-02,856.4089596298687
2013-03,882.4485575610822
2013-04,854.3703286405274
2013-05,886.6110374943135
2013-06,900.8363339690134
2013-07,905.1602488222647
2013-08,872.1700771280098
2013-09,883.8678131114737
2013-10,937.7825965253631
2013-11,948.0453806959757
2013-12,957.9950018661123
2014-01,1008.195193390447
2014-02,992.6787602446639
2014-03,986.1525557721407
2014-04,983.9661807916177
2014-05,1007.4954603398415
2014-06,1004.9099182963256
2014-07,1035.0965021682994
2014-08,1043.2830815710604
2014-09,1031.064170725623
2014-10,1015.4845937231944
2014-11,1065.6835879497917
2014-12,1066.664981515763
2015-01,1080.7852610325801
2015-02,1114.5788482402522
2015-03,1119.7669820911344
2015-04,1155.8423797146474
2015-05,1208.377516507121
2015-06,1152.0097893189982
2015-07,1149.986684936422
2015-08,1114.8159871312284
2015-09,1088.2339600809516
2015-10,1081.4975077329887
2015-11,1066.034833706924
2015-12,1160.5257526876426
2016-01,1192.6699401858893
2016-02,1188.3566003185579
2016-03,1259.1837981087447
2016-04,1263.8856613917974
2016-05,1274.415335064298
2016-06,1264.6828186195269
2016-07,1277.8543018243565
2016-08,1296.6860695226976
2016-09,1358.5014997713977
2016-10,1338.5402437923906
2016-11,1362.5771666502997
2016-12,1363.7103917799527
2017-01,1333.753102017463
2017-02,1345.7775157965368
2017-03,1387.5589118885391
2017-04,1374.620556
2017-05,1344.31179
2017-06,1359.844702
2017-07,1307.690573
2017-08,1335.412563
2017-09,1291.420781
2017-10,1244.635506
2017-11,1236.067309
2017-12,1197.738572
2018-01,1234.319152
2018-02,1279.452742
2018-03,1268.677646
2018-04,1279.0047394931678
2018-05,1269.2584104052364
2018-06,1259.7467706468128
2018-07,1218.4389762045462
2018-08,1221.611048249063
2018-09,1217.8703518629047
2018-10,1187.5775283947587
2018-11,1152.9449893445362
2018-12,1203.6692295380897
2019-01,1242.0514720658155
2019-02,1286.9607379286142
2019-03,1255.2188120455803
2019-04,1246.3018827418548
2019-05,1294.390330946713
2019-06,1375.5480478342818
2019-07,1393.074552270009
2019-08,1355.3423535939942
2019-09,1369.6139923760152
2019-10,1376.2647283448837
2019-11,1368.4255003562448
2019-12,1374.7338899145561
2020-01,1446.173585667601
2020-02,1432.8495778052168
2020-03,1264.8071804223662
2020-04,1263.8267788308897
2020-05,1220.9645167965061
2020-06,1239.285930875325
2020-07,1212.5304369559447
2020-08,1222.1618120459075
2020-09,1214.0686764288425
2020-10,1185.1420569167046
2020-11,1207.9862838855356
2020-12,1284.1191266824862
2021-01,1312.698894699799
2021-02,1348.2584121738107
2021-03,1353.6738133675285
2021-04,1427.9449583919
2021-05,1601.4912175833085
2021-06,1585.1145303573303
2021-07,1595.580966059087
2021-08,1584.5912645224148
2021-09,1594.7846275439308
2021-10,1645.6308244543627
2021-11,1599.0522423317245
2021-12,1665.3538080177627
2022-01,1758.414059493421
2022-02,1747.2537594264995
2022-03,1792.1438611684048
2022-04,2063.862065315411
2022-05,2137.2613425985414
2022-06,2187.4729839953343
2022-07,2414.9217138042723
2022-08,2360.864619667535
2022-09,2266.9413844556952
2022-10,2197.8971226077647
2022-11,2262.2592473818518
2022-12,2249.2676548531354
2023-01,2489.804530217043
2023-02,2417.2633437801624
2023-03,2446.070119009455
2023-04,2447.3113566301604
2023-05,2407.6750741593128
2023-06,2404.305441255422
2023-07,2367.094330467169
