Date,ROMANIA SMALL CAP
2010-11,1000.0
2010-12,1034.2457804885269
2011-01,1199.8669738418243
2011-02,1257.8883635991722
2011-03,1360.751411394408
2011-04,1485.4403741780523
2011-05,1291.4695329923472
2013-06,965.643706796888
2013-07,1018.4060934032158
2013-08,1018.3181881351948
2013-09,1047.236400662961
2013-10,1029.5934482983535
2013-11,1092.5819546044804
2013-12,1103.0906300014599
2014-01,1036.15912216382
2014-02,1116.2916022103957
2014-03,1160.4996481282747
2014-04,1231.0477845091796
2014-05,1304.5968322592782
2014-06,1395.847902219737
2014-07,1366.3867011046088
2014-08,1398.6001968521482
2014-09,1451.8759061228095
2014-10,1424.7302209728489
2014-11,1489.2745133341134
2014-12,1462.7123485658421
2015-01,1393.7184114998324
2015-02,1425.0124534421861
2015-03,1316.2107933692732
2015-04,1376.3120517077484
2015-05,1361.3758395919094
2015-06,1375.2891365742626
2015-07,1465.0672791615136
2015-08,1417.2693145436228
2015-09,1397.3513642375365
2015-10,1385.4215382890036
2015-11,1374.474862859984
2015-12,1400.7576928487683
2016-01,1307.1900414816002
2016-02,1330.7113447950985
2016-03,1427.8932838978374
2016-04,1415.1009246996027
2016-05,1398.939002340266
2016-06,1475.833738728404
2016-07,1590.4254833001728
2016-08,1647.1524269753695
2016-09,1655.340898839963
2016-10,1566.6119919382797
2016-11,1518.1400562653773
2016-12,1481.5512119741009
2017-01,1708.1146180190508
2017-02,1813.3825056070755
2017-03,1867.8358523577724
2017-04,1885.319334
2017-05,2189.007402
2017-06,1982.825329
2017-07,2188.056952
2017-08,2180.715648
2017-09,2214.067325
2017-10,2187.733488
2017-11,2285.001759
2017-12,2268.597714
2018-01,2499.458251
2018-02,2328.286038
2018-03,2302.528962
2018-04,2195.5910936084706
2018-05,1925.333749031998
2018-06,2018.1147839911514
2018-07,2011.0699663423577
2018-08,2083.6821421414675
2018-09,2031.4437116763263
2018-10,1956.9818925068691
2018-11,1979.5482909783148
2018-12,1779.3934101873654
2019-01,1795.1013406372595
2019-02,1833.6251074259098
2019-03,1764.4058137322688
2019-04,1785.740730218819
2019-05,1857.1297176387725
2019-06,2035.121070519549
2019-07,1999.0183657382227
2019-08,1935.2622962935745
2019-09,1948.2820845019844
2019-10,2063.3658199120446
2019-11,1993.6945819529546
2019-12,2026.1554285983013
2020-01,1946.6246369401763
2020-02,1757.9055525677602
2020-03,1505.961926498727
2020-04,1657.5008751198427
2020-05,1864.477462727454
2020-06,1919.2074760544137
2020-07,1978.7520042684246
2020-08,2103.227007369163
2020-09,1935.220337148184
2020-10,1996.5909194588191
2020-11,2059.0109806930304
2020-12,2145.156540734295
2021-01,2263.4024885353538
2021-02,2188.598546497376
2021-03,2118.5687732801634
2021-04,2149.783007609997
2021-05,2184.840184477685
2021-06,2186.666748954516
2021-07,2153.5597913632564
2021-08,2010.9337549208203
2021-09,1964.056780720549
2021-10,1992.2654011921861
2021-11,1628.2963027577332
2021-12,1692.153591615247
2022-01,1669.4396782497215
2022-02,1507.4526772341048
2022-03,1502.7098688689598
2022-04,1379.0763852567143
2022-05,1392.7032741751123
2022-06,1311.3428442321106
2022-07,1279.430825149934
2022-08,1243.4371655129323
2022-09,1058.6345647763617
2022-10,1110.1385695958522
2022-11,1236.903129295412
2022-12,1318.6522858713417
2023-01,1406.8393366711216
2023-02,1397.2621593272156
2023-03,1385.665788774945
2023-04,1477.9087804431315
2023-05,1335.4239605298765
2023-06,1369.4843046050537
2023-07,1453.7142355805156
