Date,EAFE ex ISRAEL SMALL CAP
2010-05,1034.1086983170565
2010-06,1030.302031355043
2010-07,1119.5929105717837
2010-08,1086.9316535440807
2010-09,1210.9196160084366
2010-10,1257.3004018090985
2010-11,1212.6032016896102
2010-12,1353.868522188924
2011-01,1365.5923067309404
2011-02,1396.890530008583
2011-03,1395.2929252884933
2011-04,1469.9970143545877
2011-05,1434.4603186731526
2011-06,1411.437429741907
2011-07,1396.7456217756248
2011-08,1283.5134923202504
2011-09,1150.6645655028794
2011-10,1233.0270768699468
2011-11,1166.7497988591765
2011-12,1144.8080530088484
2012-01,1239.6796183940914
2012-02,1315.4296890065414
2012-03,1316.3683230290937
2012-04,1309.9746428420372
2012-05,1156.799429063381
2012-06,1205.1183192278975
2012-07,1209.3571931461806
2012-08,1241.6850416810973
2012-09,1299.3275960763503
2012-10,1309.4168748765317
2012-11,1320.9945683707945
2012-12,1375.9253581728308
2013-01,1448.6585570107154
2013-02,1464.4896124952131
2013-03,1492.6799202127208
2013-04,1547.3240930344546
2013-05,1511.8394875918948
2013-06,1456.7843141752246
2013-07,1544.9015835670025
2013-08,1544.686288566549
2013-09,1683.765281995908
2013-10,1735.41592374398
2013-11,1742.7581034223879
2013-12,1783.6634156943414
2014-01,1757.0237952993234
2014-02,1854.2610435166107
2014-03,1845.3194594843385
2014-04,1831.399209893398
2014-05,1858.8768922589736
2014-06,1887.4626539248484
2014-07,1843.095435169437
2014-08,1840.4361686768787
2014-09,1740.2360449640742
2014-10,1706.8873700182328
2014-11,1711.8871399139932
2014-12,1703.2185539386842
2015-01,1706.4140295306806
2015-02,1817.2562609625968
2015-03,1798.7689824381578
2015-04,1881.9773391750728
2015-05,1903.8689057830613
2015-06,1879.9407500084333
2015-07,1895.2801749892203
2015-08,1812.6563941091374
2015-09,1752.146274274814
2015-10,1857.2374691212578
2015-11,1857.791339162152
2015-12,1872.3414826031005
2016-01,1724.5899322223559
2016-02,1722.52060809079
2016-03,1862.171088648163
2016-04,1905.8226152590657
2016-05,1917.6459951224595
2016-06,1816.5727887549335
2016-07,1927.6027798688476
2016-08,1915.3532622288253
2016-09,1974.1395341573984
2016-10,1918.063102612782
2016-11,1862.374327373709
2016-12,1916.711020244849
2017-01,1983.7670345214844
2017-02,2027.2976009709782
2017-03,2068.878775724378
2017-04,2158.944032
2017-05,2240.621008
2017-06,2241.50341
2017-07,2324.665394
2017-08,2343.919954
2017-09,2411.482521
2017-10,2451.866341
2017-11,2490.278623
2017-12,2558.440017
2018-01,2689.760825
2018-02,2594.217552
2018-03,2567.0855395791295
2018-04,2604.948970563912
2018-05,2580.1674626177505
2018-06,2531.4676173655835
2018-07,2547.8624883649986
2018-08,2522.226813651306
2018-09,2504.1546248701598
2018-10,2262.3901400651275
2018-11,2245.1708925752046
2018-12,2100.568283085697
2019-01,2269.5661627624
2019-02,2319.3609705236104
2019-03,2325.2149321323077
2019-04,2395.2485563557657
2019-05,2268.85736020129
2019-06,2366.221655800955
2019-07,2347.7807131519166
2019-08,2289.443923342789
2019-09,2353.809734304153
2019-10,2462.762207493895
2019-11,2515.986978315073
2019-12,2627.8828938250917
2020-01,2550.464550501478
2020-02,2298.661833391879
2020-03,1905.8024821765525
2020-04,2103.748783703933
2020-05,2258.1858970269323
2020-06,2293.651512261918
2020-07,2369.415687438042
2020-08,2546.1210686230193
2020-09,2530.70383
2020-10,2439.668711912504
2020-11,2774.4428083993103
2020-12,2964.636145151789
2021-01,2953.475434448958
2021-02,3033.0461799023988
2021-03,3101.8395739952994
2021-04,3226.0544265542408
2021-05,3291.58944504699
2021-06,3234.3741654034757
2021-07,3291.72653991705
2021-08,3387.173923845957
2021-09,3262.6991756756765
2021-10,3309.27280617643
2021-11,3117.561839888491
2021-12,3253.3419159195387
2022-01,3010.1422581616926
2022-02,2971.7191860461467
2022-03,2971.024799016911
2022-04,2767.4581616510295
2022-05,2757.692814523344
2022-06,2454.611734777439
2022-07,2615.151514915844
2022-08,2490.3353025651486
2022-09,2209.1666952909554
2022-10,2304.330579912638
2022-11,2540.3566982686243
2022-12,2575.610425417149
2023-01,2770.6210241566923
2023-02,2718.1529598447137
2023-03,2715.253942796905
2023-04,2774.1170414109693
2023-05,2657.9865434174267
2023-06,2735.214444175627
2023-07,2854.1930163409334
